feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG2253	Mean_Temperature	Mean_Temperature	0.0873400717110911	5.31642124926113e-05	139	94	1.01884022344092e-274	1.67415825515813e-270
COG2253	log_PO4	log_PO4	0.793341343516802	0.00560229597335527	139	94	9.25449704706024e-141	7.6034947738647e-137
COG2253	log_depth	log_depth	0.00787693346906368	0.000303163377284688	139	94	1.90057876510144e-52	1.04101034227156e-48
COG0573	log_PO4	log_PO4	-1.30291147596567	0.0878098018844831	139	139	2.00916586884625e-29	8.2536533892204e-26
COG0226	log_PO4	log_PO4	-1.21347542159178	0.0823498904216664	139	139	3.57424321152787e-29	9.78866074197099e-26
COG1117	log_PO4	log_PO4	-1.11173225325768	0.0753623021099994	139	139	3.30203964157955e-29	9.78866074197099e-26
COG1682	log_depth	log_depth	0.765735598725583	0.0524100580947472	139	139	1.12095648354165e-28	2.63136527679378e-25
COG0581	log_PO4	log_PO4	-1.21580275632316	0.0845297886410476	139	139	2.51596143722534e-28	5.16778479206085e-25
COG0825	log_depth	log_depth	-0.348356075133123	0.0256839317587246	139	139	2.15260683909647e-26	3.9301817311148e-23
COG0513	Mean_Temperature	Mean_Temperature	-0.0439268692646255	0.00325263280504429	139	139	3.4748043125033e-26	5.70979844630542e-23
COG4552	log_depth	log_depth	2.14634850344385	0.16224854031338	139	139	1.3799763714849e-25	2.06143379420363e-22
COG1921	log_depth	log_depth	1.10592367218629	0.0862446046861357	139	139	1.32861428325194e-24	1.81931582519966e-21
COG1546	Mean_Temperature	Mean_Temperature	0.0222246553061675	0.00174539260878934	139	139	2.33858824882772e-24	2.74483443605266e-21
COG3346	log_depth	log_depth	-0.930351238982844	0.0729786580072302	139	139	2.21063931042622e-24	2.74483443605266e-21
COG4137	Mean_Temperature	Mean_Temperature	-0.104782863573489	0.00823358138998788	139	139	2.87294760165931e-24	3.14721833269772e-21
COG0854	log_depth	log_depth	-0.385031978828228	0.0303733194612607	139	139	3.34804925913239e-24	3.43844658912896e-21
COG1920	log_depth	log_depth	1.37097171142283	0.108803159648806	139	139	4.62503845266576e-24	4.22214621412243e-21
COG2188	Mean_Temperature	Mean_Temperature	-0.130108918011596	0.0103060782565433	139	139	4.48346277744163e-24	4.22214621412243e-21
COG1307	log_depth	log_depth	2.39716626238874	0.190669767372954	139	139	5.41571293339676e-24	4.68373657481977e-21
COG0135	log_depth	log_depth	-0.342712164613568	0.0270797262796364	139	139	6.30787892817017e-24	5.18255332738461e-21
COG0220	log_depth	log_depth	-0.378843616803972	0.0303696315253076	139	139	9.38402487572509e-24	7.34277603609118e-21
COG2141	log_depth	log_depth	0.860357545970242	0.0692761257078303	139	139	1.27936618991789e-23	9.55570237851402e-21
COG1995	log_depth	log_depth	-0.321942924432079	0.0259635197101335	139	139	1.42698795288022e-23	1.01948982790121e-20
COG1461	log_depth	log_depth	2.28839903986541	0.186015286687825	139	139	2.47038497330911e-23	1.62381765632052e-20
COG3164	Mean_Temperature	Mean_Temperature	-0.0938635999101177	0.00754675666349825	139	139	2.47051128335036e-23	1.62381765632052e-20
COG2225	log_depth	log_depth	-0.470844832295862	0.0383933110155385	139	139	3.65796845954241e-23	2.3118360664308e-20
COG1137	log_depth	log_depth	-0.307769832754379	0.0251426378004914	139	139	4.39395179529315e-23	2.67412651482433e-20
COG0824	log_depth	log_depth	-0.202496000963618	0.0166190426920678	139	139	4.78922219027303e-23	2.81058925109166e-20
COG1681	log_depth	log_depth	3.44595100963749	0.283108322513192	139	65	5.1451113755588e-23	2.9153265559718e-20
COG1812	log_depth	log_depth	3.03952067763831	0.251417967203215	139	82	8.64568540086567e-23	4.73553008356749e-20
COG1171	log_depth	log_depth	-0.247169549334629	0.0203514535355629	139	139	9.04253739299498e-23	4.79312820779657e-20
COG0708	log_depth	log_depth	-0.30241801104284	0.0250909955587553	139	139	1.00582384345466e-22	5.16490543613968e-20
COG3859	log_depth	log_depth	2.94357917985868	0.244709244125002	139	102	1.15129137707934e-22	5.73273330550538e-20
COG2085	log_depth	log_depth	1.17119482687454	0.0973391029660351	139	139	1.20284329622331e-22	5.81327089515924e-20
COG1118	log_depth	log_depth	1.39998484668407	0.116574057463164	139	139	1.28492565351382e-22	6.03254238243975e-20
COG3051	log_depth	log_depth	4.15262808288649	0.346511281550558	139	112	1.48189402442771e-22	6.76402294705448e-20
COG0194	log_depth	log_depth	-0.267279178683154	0.0223098608016681	139	139	2.05348767518632e-22	9.11970526450313e-20
COG4324	log_depth	log_depth	1.38228200744214	0.115933863546238	139	139	2.47484415170483e-22	1.07017471317931e-19
COG1060	log_depth	log_depth	1.08135995383532	0.0910070735723568	139	139	2.63362257905127e-22	1.1096329799736e-19
COG1514	log_depth	log_depth	1.83807755983577	0.154637781003185	139	139	3.60444032553796e-22	1.44458935193268e-19
COG1545	log_depth	log_depth	0.834865865837436	0.069180107661043	139	139	3.56668850256165e-22	1.44458935193268e-19
COG3155	log_depth	log_depth	1.60905807310775	0.136201729224456	139	139	3.87350584660468e-22	1.51546304931924e-19
